,first_hitter,inning,firsst_score,second_score,pre_high_LI,pre_get_point,pre_pinch_result,OBP,score_num
0,7,5,4,2,0.8,False,0,0.714,4
0,8,5,4,2,3.7,True,0,0.0,0
0,6,6,4,2,1.3,False,0,0.333,0
0,2,6,4,2,1.2,False,0,0.0,0
0,1,7,4,2,1.4,False,0,0.25,0
0,5,7,4,2,0.7,False,0,0.333,0
0,5,8,4,2,2.3,False,1,0.333,0
0,8,8,4,2,0.7,False,0,0.0,0
0,8,9,4,2,1.8,False,0,0.333,0
0,2,9,4,5,0.6,False,0,0.714,3
0,1,1,0,0,0,False,0,0.25,0
0,1,1,0,0,1.7,False,0,0.5,0
0,6,2,1,0,1.8,False,0,0.667,1
0,5,2,1,0,1.6,True,0,0.0,0
0,2,3,3,0,1.0,False,0,0.6,2
0,8,3,3,0,1.7,True,0,0.333,0
0,8,4,8,0,1.6,False,0,0.857,5
0,3,4,8,0,1.7,True,0,0.333,0
0,7,5,8,0,0,False,0,0.0,0
0,6,5,8,1,0,False,0,0.571,1
0,1,6,9,1,0,True,0,0.25,1
0,4,6,9,1,0,True,0,0.25,0
0,5,7,9,1,0,False,0,0.0,0
0,8,7,9,1,0,False,0,0.5,0
0,8,8,11,1,0,False,0,0.5,2
0,5,8,11,5,0,True,0,0.667,4
0,5,9,15,5,0,True,0,0.625,4
0,5,9,15,5,0,True,0,0.333,0
0,1,1,0,0,0,False,0,0.5,0
0,1,1,0,2,2.7,False,1,0.6,2
0,7,2,0,2,1.1,True,0,0.4,0
0,6,2,0,2,2.0,False,1,0.0,0
0,3,3,2,2,0.6,False,0,0.571,2
0,9,3,2,2,1.9,True,0,0.25,0
0,1,4,2,2,1.5,False,0,0.4,0
0,4,4,2,6,2.3,False,1,0.625,4
0,6,5,2,6,3.3,True,0,0.25,0
0,3,5,2,8,1.2,False,0,0.5,2
0,1,6,2,8,0.6,True,0,0.4,0
0,9,6,2,10,0,False,0,0.5,2
0,6,7,2,10,0,True,0,0.25,0
0,6,7,2,10,0,False,0,0.5,0
0,1,8,3,10,0,False,0,0.4,1
0,2,8,3,10,0,True,0,0.0,0
0,6,9,3,10,0,False,0,0.25,0
0,1,1,2,0,0,False,0,0.571,2
0,1,1,2,0,1.4,True,0,0.5,0
0,8,2,6,0,2.0,False,1,0.625,4
0,5,2,6,0,1.0,True,0,0.0,0
0,7,3,7,0,0,False,0,0.5,1
0,8,3,7,0,0,True,0,0.0,0
0,4,4,7,0,0,False,0,0.333,0
0,2,4,7,0,0,False,0,0.0,0
0,8,5,7,0,0,False,0,0.25,0
0,5,5,7,0,0,False,0,0.0,0
0,3,6,7,0,0,False,0,0.0,0
0,8,6,7,0,0,False,0,0.25,0
0,6,7,7,0,0,False,0,0.0,0
0,3,7,7,0,0,False,0,0.25,0
0,9,8,8,0,0,False,0,0.25,1
0,7,8,8,0,0,True,0,0.0,0
0,4,9,8,0,0,False,0,0.0,0
0,1,9,8,0,0,False,0,0.0,0
0,1,1,1,0,0,False,0,0.4,1
0,1,1,1,0,1.0,True,0,0.25,0
0,6,2,1,0,0.9,False,0,0.0,0
0,5,2,1,0,0.8,False,0,0.4,0
0,9,3,3,0,1.9,False,0,0.6,2
0,1,3,3,0,1.4,True,0,0.6,0
0,6,4,3,0,3.0,False,1,0.0,0
0,7,4,3,0,0.5,False,0,0.25,0
0,9,5,5,0,1.3,False,0,0.6,2
0,2,5,5,1,1.1,True,0,0.4,1
0,6,6,5,1,0.6,True,0,0.0,0
0,7,6,5,3,0.3,False,0,0.571,2
0,9,7,5,3,3.8,True,0,0.25,0
0,5,7,5,3,1.1,False,0,0.4,0
0,4,8,6,3,3.6,False,1,0.5,1
0,1,8,6,4,1.0,True,0,0.714,1
0,1,9,6,4,6.1,True,0,0.0,0
0,8,9,6,4,0.3,False,0,0.25,0
0,1,1,3,0,0,False,0,0.625,3
0,1,1,3,0,1.8,True,0,0.0,0
0,9,2,4,0,0.8,False,0,0.5,1
0,4,2,4,0,0.9,True,0,0.333,0
0,6,3,4,0,1.0,False,0,0.0,0
0,7,3,4,0,0.4,False,0,0.0,0
0,9,4,4,0,0.8,False,0,0.25,0
0,1,4,4,0,0.5,False,0,0.0,0
0,3,5,6,0,0.8,False,0,0.6,2
0,4,5,6,0,0.6,True,0,0.0,0
0,8,6,6,0,0,False,0,0.333,0
0,7,6,6,0,0,False,0,0.5,0
0,2,7,6,0,0,False,0,0.4,0
0,2,7,6,0,0,False,0,0.0,0
0,7,8,6,0,0,False,0,0.4,0
0,5,8,6,0,0,False,0,0.25,0
0,3,9,6,0,0,False,0,0.25,0
0,9,9,6,0,0,False,0,0.5,0
0,1,1,1,0,0,False,0,0.5,1
0,1,1,1,0,1.5,True,0,0.25,0
0,7,2,1,0,1.2,False,0,0.0,0
0,5,2,1,0,0.8,False,0,0.25,0
0,1,3,1,0,1.3,False,0,0.667,0
0,9,3,1,0,1.7,False,0,0.0,0
0,6,4,1,0,1.1,False,0,0.0,0
0,3,4,1,0,0.9,False,0,0.0,0
0,9,5,1,0,1.2,False,0,0.25,0
0,6,5,1,0,1.5,False,0,0.0,0
0,4,6,1,0,1.3,False,0,0.333,0
0,9,6,1,0,1.3,False,0,0.25,0
0,7,7,1,0,2.4,False,1,0.4,0
0,4,7,1,0,2.1,False,1,0.0,0
0,3,8,1,0,1.9,False,0,0.25,0
0,7,8,1,0,1.6,False,0,0.0,0
0,7,9,2,0,2.5,False,1,0.5,1
0,1,9,2,0,1.3,True,0,0.0,0
0,1,1,0,0,0,False,0,0.333,0
0,1,1,0,0,1.4,False,0,0.4,0
0,5,2,0,0,1.9,False,0,0.0,0
0,6,2,0,0,0.9,False,0,0.0,0
0,8,3,0,0,0.9,False,0,0.333,0
0,9,3,0,0,1.6,False,0,0.0,0
0,3,4,5,0,1.0,False,0,0.75,5
0,3,4,5,0,2.9,True,0,0.5,0
0,3,5,5,0,0,False,0,0.0,0
0,8,5,5,1,0,False,0,0.5,1
0,6,6,5,1,0,True,0,0.0,0
0,3,6,5,3,0.3,False,0,0.75,2
0,9,7,5,3,2.2,True,0,0.0,0
0,9,7,5,3,0.7,False,0,0.0,0
0,3,8,5,3,1.6,False,0,0.4,0
0,3,8,5,3,1.0,False,0,0.0,0
0,8,9,5,3,1.8,False,0,0.25,0
0,6,9,5,4,0.3,False,0,0.5,1
0,1,1,1,0,0,False,0,0.6,1
0,1,1,1,1,1.3,True,0,0.333,1
0,6,2,1,1,1.5,True,0,0.5,0
0,5,2,1,1,2.9,False,1,0.0,0
0,3,3,1,1,0.9,False,0,0.667,0
0,8,3,1,1,2.1,False,1,0.0,0
0,7,4,2,1,1.0,False,0,0.6,1
0,2,4,2,1,2.9,True,0,0.5,0
0,3,5,2,1,1.9,False,0,0.4,0
0,6,5,2,2,1.8,False,0,0.571,1
0,8,6,2,2,3.6,True,0,0.5,0
0,4,6,2,2,2.5,False,1,0.0,0
0,4,7,2,2,1.3,False,0,0.0,0
0,7,7,2,2,1.5,False,0,0.4,0
0,7,8,2,2,4.5,False,1,0.4,0
0,4,8,2,2,3.5,False,1,0.5,0
0,3,9,2,2,3.5,False,1,0.25,0
0,8,9,2,3,3.7,False,1,1.0,1
0,1,1,0,0,0,False,0,0.5,0
